"ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_FONTE","ORGAO_UNIFICADO_ID","ORGAO_UNIFICADO_SITUACAO","ORGAO_UNIFICADO_COD_SIORG_ORIGEM","ORGAO_PADRONIZADO_ID","ORG_PADR_ID_OU"
10,MEC,MINISTÉRIO DA EDUCAÇÃO,184,UFR,UNIVERSIDADE FEDERAL DE RONDONÓPOLIS,26454,UFR,UNIVERSIDADE FEDERAL DE RONDONOPOLIS,SIAFI,477,ATIVO,244,,184
10,MEC,MINISTÉRIO DA EDUCAÇÃO,170,UNILA,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,26267,UNILA,UNIVERS. FEDERAL DA INTEG. LATINO AMERICANA,SIAFI,378,ATIVO,105793,202,170
10,MEC,MINISTÉRIO DA EDUCAÇÃO,171,UFSB,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,26450,UFSB,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,SIAFI,301,ATIVO,122378,267,171
10,MEC,MINISTÉRIO DA EDUCAÇÃO,172,UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,26448,UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA,SIAFI,450,ATIVO,122381,32,172
10,MEC,MINISTÉRIO DA EDUCAÇÃO,173,UFOB,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,26447,UFOB,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,SIAFI,382,ATIVO,122386,130,173
10,MEC,MINISTÉRIO DA EDUCAÇÃO,174,UFCA,UNIVERSIDADE FEDERAL DO CARIRI,26449,UFCA,UNIVERSIDADE FEDERAL DO CARIRI,SIAFI,300,ATIVO,122391,91,174
10,MEC,MINISTÉRIO DA EDUCAÇÃO,153,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,26441,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARA,SIAFI,515,ATIVO,104667,166,153
10,MEC,MINISTÉRIO DA EDUCAÇÃO,157,UNIPAMPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,26266,UNIPAMPA,FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,SIAFI,332,ATIVO,94739,200,157
10,MEC,MINISTÉRIO DA EDUCAÇÃO,166,UFCG,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,26252,UFCG,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,SIAFI,539,ATIVO,67671,169,166
10,MEC,MINISTÉRIO DA EDUCAÇÃO,148,UFABC,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,26352,UFABC,FUNDACAO UNIVERSIDADE FEDERAL DO ABC,SIAFI,340,ATIVO,84703,163,148
10,MEC,MINISTÉRIO DA EDUCAÇÃO,149,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,26251,UFT,FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS,SIAFI,406,ATIVO,52702,95,149
10,MEC,MINISTÉRIO DA EDUCAÇÃO,133,IF BAIANO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",26404,IF BAIANO,"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO",SIAFI,569,ATIVO,100920,87,133
10,MEC,MINISTÉRIO DA EDUCAÇÃO,111,UFGD,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,26350,UFGD,FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS,SIAFI,297,ATIVO,84712,191,111
10,MEC,MINISTÉRIO DA EDUCAÇÃO,86,UFCSPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,26284,UFCSPA,FUN.UNIV.FED.DE CIENCIAS DA SAUDE DE P.ALEGRE,SIAFI,567,ATIVO,970,185,86
10,MEC,MINISTÉRIO DA EDUCAÇÃO,100,UFRB,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,26351,UFRB,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,SIAFI,544,ATIVO,84710,54,100
